countyFIPS,County Name,No Diploma,High School,Associate's,Bachelor's,Graduate,Foreign Born
0500000US01003,"Baldwin County, Alabama",12068,41884,16170,32781,18690,11002
0500000US01015,"Calhoun County, Alabama",8871,27277,7112,9082,6175,1906
0500000US01043,"Cullman County, Alabama",8365,17924,6783,5935,3306,2196
0500000US01049,"DeKalb County, Alabama",5375,17881,4433,3693,2306,5018
0500000US01051,"Elmore County, Alabama",3853,19992,5821,9418,4892,2356
0500000US01055,"Etowah County, Alabama",8623,23037,6655,7524,4845,2999
0500000US01069,"Houston County, Alabama",7241,22300,6894,10453,6224,3587
0500000US01073,"Jefferson County, Alabama",29820,121638,39049,92039,64394,25095
0500000US01077,"Lauderdale County, Alabama",6564,21989,4953,8491,5795,995
0500000US01081,"Lee County, Alabama",5054,22314,9640,21276,20679,9924
0500000US01083,"Limestone County, Alabama",6492,22913,6481,12708,4783,2775
0500000US01089,"Madison County, Alabama",12682,50143,23140,68431,44844,20655
0500000US01095,"Marshall County, Alabama",7177,21230,5820,9708,3295,8027
0500000US01097,"Mobile County, Alabama",26028,101149,22914,41867,22331,10438
0500000US01101,"Montgomery County, Alabama",11019,37602,12095,30610,22937,9738
0500000US01103,"Morgan County, Alabama",6885,29020,6427,12666,6625,6436
0500000US01115,"St. Clair County, Alabama",5764,22413,7676,5464,3063,1128
0500000US01117,"Shelby County, Alabama",5845,30045,11765,43560,22881,12755
0500000US01121,"Talladega County, Alabama",8078,19600,4808,5027,3484,754
0500000US01125,"Tuscaloosa County, Alabama",10494,40380,9988,25100,16471,6986
0500000US01127,"Walker County, Alabama",5823,15714,4745,3902,1526,1077
0500000US02020,"Anchorage Municipality, Alaska",6158,48046,17702,42352,26860,30991
0500000US02090,"Fairbanks North Star Borough, Alaska",1273,12724,5310,10212,10179,4938
0500000US02170,"Matanuska-Susitna Borough, Alaska",3013,23545,7531,12008,5117,4272
0500000US04001,"Apache County, Arizona",4297,14470,4095,2837,2635,661
0500000US04003,"Cochise County, Arizona",6043,23731,10223,13332,8769,12898
