state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_staffed_adult_icu_beds,inpatient_beds_utilization,percent_of_inpatients_with_covid,inpatient_bed_covid_utilization,adult_icu_bed_covid_utilization,adult_icu_bed_utilization,reporting_cutoff_start,deaths_covid
OR,5,49,7093,5614,1117,184,163,1082,979,776,0.791484562,0.202906449,0.161067051,0.245006658,0.793814433,2/9/2022,14
PA,7,79,29586,24015,2883,470,439,2798,2495,3600,0.81170148,0.121272031,0.098601183,0.134400915,0.759722222,2/9/2022,39
PR,0,8,8938,5482,229,54,42,213,194,664,0.60807787,0.042652263,0.025374328,0.082018927,0.740963855,2/9/2022,0
RI,1,1,2337,1946,130,24,23,126,122,139,0.832691485,0.0668037,0.055626872,0.172661871,0.848920863,2/9/2022,0
SC,22,60,11712,9208,1440,280,278,1411,1374,1323,0.786202186,0.158363576,0.124664531,0.218408736,0.769463341,2/9/2022,15
SD,0,54,2413,1648,247,60,60,238,222,249,0.682967261,0.152375077,0.105240733,0.25,0.558232932,2/9/2022,0
TN,2,125,19944,14531,2753,544,548,2672,2607,2312,0.728590052,0.19281412,0.140330309,0.24471435,0.735726644,2/9/2022,30
TX,8,105,67897,52625,8834,1997,1970,8538,7931,6866,0.775071064,0.169835624,0.131575812,0.298683817,0.902709001,2/9/2022,146
UT,0,48,6178,3740,617,134,134,566,544,537,0.605373907,0.1667117,0.101147541,0.25426945,0.761638734,2/9/2022,3
VA,13,70,17829,13391,1855,370,363,1811,1672,1933,0.751079702,0.140179853,0.105319934,0.196703881,0.727366787,2/9/2022,29
VI,0,2,168,103,9,3,3,9,9,20,0.613095238,0.087378641,0.053571429,0.15,0.4,2/9/2022,0
VT,11,5,1248,946,78,15,14,78,77,101,0.758012821,0.084598698,0.064039409,0.15625,0.930693069,2/9/2022,0
WA,13,80,12494,10340,1749,255,239,1704,1464,1212,0.827597247,0.171051345,0.141630901,0.213389121,0.805280528,2/9/2022,15
IA,4,15,7524,4939,497,89,79,473,448,583,0.656432749,0.102179276,0.066918002,0.157801418,0.747855918,2/9/2022,1
ID,0,26,3316,2351,468,110,109,456,455,289,0.708986731,0.201724138,0.142944411,0.394265233,0.858131488,2/9/2022,6
IL,7,168,29996,21620,2096,404,383,2029,1896,3162,0.720762768,0.098164106,0.070791678,0.130659767,0.676470588,2/9/2022,24
IN,28,134,16183,12387,1663,344,326,1638,1466,1971,0.765432862,0.135368335,0.103665378,0.178887155,0.797057331,2/9/2022,70
KS,15,117,8646,5231,717,142,139,706,655,826,0.605019662,0.138336871,0.083781257,0.175960347,0.745762712,2/9/2022,5
KY,25,85,12153,9008,1971,328,339,1914,1802,1502,0.741216161,0.222184647,0.164606648,0.225429553,0.812250333,2/9/2022,37
LA,0,2,12912,9577,1003,295,286,976,1029,1536,0.741713135,0.104730082,0.077679678,0.192057292,0.793619792,2/9/2022,0
MA,0,5,18462,15945,998,190,183,972,872,1296,0.863665908,0.063044852,0.054461119,0.149606299,0.81867284,2/9/2022,0
MD,1,39,9434,7710,837,146,127,813,663,969,0.817256731,0.109397464,0.08955703,0.156820623,0.723426213,2/9/2022,2
ME,1,24,3234,2431,342,82,87,330,324,351,0.75170068,0.142916841,0.107075767,0.240469208,0.752136752,2/9/2022,1
MI,36,123,22239,17801,2260,397,390,2189,2096,2530,0.800440667,0.127835285,0.102424654,0.159182037,0.775098814,2/9/2022,25
MN,4,1,9639,8200,1129,160,151,1069,975,872,0.850710655,0.139952895,0.119306774,0.190930788,0.787844037,2/9/2022,3
MO,8,89,16657,13880,2253,487,478,2168,2015,1786,0.833283304,0.164777298,0.137554185,0.283634246,0.816349384,2/9/2022,17
AK,1,20,1541,1116,111,11,11,108,108,136,0.724205062,0.099462366,0.072031149,0.080882353,0.786764706,2/9/2022,2
AL,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,2/9/2022,28
AR,7,89,9057,6367,1241,312,306,1220,1145,926,0.702992161,0.195556256,0.137659456,0.343234323,0.785097192,2/9/2022,3
AS,0,1,150,95,0,0,0,0,0,7,0.633333333,0,0,0,0.714285714,2/9/2022,0
AZ,10,74,17023,14169,2331,395,389,2267,2059,1749,0.832344475,0.167024936,0.139388866,0.233727811,0.738136078,2/9/2022,9
CA,14,115,65153,51569,8613,1606,1596,8358,8052,7064,0.791506147,0.169034816,0.133785862,0.232719896,0.796715742,2/9/2022,34
CO,16,60,11912,7571,884,211,211,851,733,1269,0.635577569,0.118008277,0.074883524,0.170711974,0.669030733,2/9/2022,2
CT,1,13,7844,6359,498,72,70,471,451,867,0.810683325,0.079160706,0.064200077,0.085207101,0.7727797,2/9/2022,3
DC,0,1,3307,2631,273,45,46,253,238,325,0.795585122,0.107522647,0.085876062,0.148026316,0.775384615,2/9/2022,4
DE,2,12,3178,2570,270,19,18,258,188,181,0.808684707,0.105882353,0.085823268,0.108571429,0.745856354,2/9/2022,0
FL,7,182,57605,45301,5502,887,882,5359,5024,6295,0.78640743,0.123390895,0.097078128,0.144698206,0.792374901,2/9/2022,45
GA,42,107,23048,19136,3233,647,608,3118,2769,2574,0.830267268,0.170805156,0.142010015,0.256339144,0.856643357,2/9/2022,30
HI,3,16,2572,2035,194,23,22,186,176,215,0.791213064,0.095331695,0.075427683,0.106976744,0.674418605,2/9/2022,4
MS,6,93,8609,5707,958,208,208,933,902,722,0.662910907,0.169527517,0.112125468,0.296296296,0.880886427,2/9/2022,12
MT,9,52,2935,2042,266,33,33,259,264,220,0.695741056,0.131293189,0.091534756,0.154205607,0.663636364,2/9/2022,10
NC,7,109,23252,18691,3970,685,667,3850,3510,2306,0.803844831,0.214768731,0.172751403,0.305667113,0.856895056,2/9/2022,48
ND,0,5,2290,1738,6,44,46,2,157,89,0.758951965,0.003478261,0.002650177,0.258823529,0.921348315,2/9/2022,3
NE,21,65,4617,3382,529,105,105,513,493,487,0.732510288,0.158954327,0.116442879,0.221052632,0.802874743,2/9/2022,4
NH,2,10,2889,2361,172,20,19,170,162,220,0.817237799,0.072850487,0.059536172,0.090909091,0.85,2/9/2022,0
NJ,11,73,24445,15427,1557,233,231,1530,1428,2942,0.631090202,0.100926946,0.063694007,0.079197825,0.457851801,2/9/2022,21
NM,1,12,3908,2905,528,116,118,511,505,393,0.743346981,0.168602605,0.126052632,0.312668464,0.854961832,2/9/2022,4
NV,2,11,7989,6456,1056,185,187,1039,950,870,0.808111153,0.166561514,0.134814247,0.224514563,0.844827586,2/9/2022,4
NY,3,188,48404,37513,4297,658,602,4168,3637,4577,0.774997934,0.115551133,0.089889756,0.147335423,0.751365523,2/9/2022,25
OH,1,99,29416,22749,2748,536,517,2587,2375,3718,0.773354637,0.121884148,0.094416767,0.147010422,0.724852071,2/9/2022,14
OK,0,40,10039,7367,1420,264,268,1350,1312,963,0.733838032,0.196730396,0.144045445,0.286644951,0.814122534,2/9/2022,10
WI,38,88,12107,8360,1060,197,196,1036,1012,1290,0.690509623,0.129505192,0.089504349,0.157726181,0.70620155,2/9/2022,2
WV,0,6,5593,4680,976,184,189,953,933,644,0.836760236,0.213473316,0.179411765,0.306666667,0.824534161,2/9/2022,0
WY,0,3,1766,798,94,19,19,93,96,134,0.45186863,0.120822622,0.054366686,0.1484375,0.410447761,2/9/2022,2
