state,county,countyfips,total_votes,party_won,num_votes
DE,Kent County,10001,87025,DEM,44552
DE,New Castle County,10003,287633,DEM,195034
DE,Sussex County,10005,129352,REP,71230
FL,Alachua County,12001,142604,DEM,89704
FL,Baker County,12003,14059,REP,11911
FL,Bay County,12005,93024,REP,66097
FL,Bradford County,12007,13632,REP,10334
FL,Brevard County,12009,360764,REP,207883
FL,Broward County,12011,957672,DEM,618752
FL,Calhoun County,12013,6526,REP,5274
FL,Charlotte County,12015,116340,REP,73243
FL,Citrus County,12017,93208,REP,65352
FL,Clay County,12019,124405,REP,84480
FL,Collier County,12021,207818,REP,128950
FL,Columbia County,12023,33042,REP,23836
FL,Dixie County,12029,8167,REP,6759
FL,Duval County,12031,492820,DEM,252556
FL,Escambia County,12033,170372,REP,96674
FL,Flagler County,12035,71716,REP,43043
FL,Franklin County,12037,6849,REP,4675
FL,Gadsden County,12039,23762,DEM,16153
FL,Gilchrist County,12041,9685,REP,7895
FL,Glades County,12043,5193,REP,3782
FL,Gulf County,12045,8163,REP,6113
FL,Hamilton County,12047,5830,REP,3815
FL,Hardee County,12049,8485,REP,6122
FL,Hendry County,12051,12940,REP,7906
FL,Hernando County,12053,108922,REP,70412
FL,Highlands County,12055,52170,REP,34873
FL,Hillsborough County,12057,712063,DEM,376367
FL,Holmes County,12059,9068,REP,8080
FL,Indian River County,12061,97484,REP,58872
FL,Jackson County,12063,22419,REP,15488
FL,Jefferson County,12065,8451,REP,4479
FL,Lafayette County,12067,3658,REP,3128
FL,Lake County,12069,211314,REP,125859
FL,Lee County,12071,393899,REP,233247
FL,Leon County,12073,162929,DEM,103517
FL,Levy County,12075,23145,REP,16749
FL,Liberty County,12077,3561,REP,2846
FL,Madison County,12079,9380,REP,5576
FL,Manatee County,12081,216958,REP,124987
FL,Marion County,12083,204376,REP,127826
FL,Martin County,12085,98726,REP,61168
FL,Miami-Dade County,12086,1156816,DEM,617864
FL,Monroe County,12087,48029,REP,25693
FL,Nassau County,12089,58811,REP,42566
FL,Okaloosa County,12091,116373,REP,79798
FL,Okeechobee County,12093,15954,REP,11470
FL,Orange County,12095,647403,DEM,395014
FL,Osceola County,12097,172436,DEM,97297
FL,Palm Beach County,12099,773158,DEM,433572
FL,Pasco County,12101,301970,REP,179621
FL,Pinellas County,12103,559715,DEM,277450
FL,Polk County,12105,343256,REP,194586
FL,Putnam County,12107,36373,REP,25514
FL,St. Johns County,12109,176622,REP,110946
FL,St. Lucie County,12111,172169,REP,86831
FL,Santa Rosa County,12113,106928,REP,77385
FL,Sarasota County,12115,270575,REP,148370
FL,Seminole County,12117,260815,DEM,132528
FL,Sumter County,12119,92485,REP,62761
FL,Suwannee County,12121,21057,REP,16410
FL,Taylor County,12123,10127,REP,7751
FL,Union County,12125,6245,REP,5133
FL,Volusia County,12127,307439,REP,173821
FL,Wakulla County,12129,18404,REP,12874
FL,Walton County,12131,43711,REP,32947
FL,Washington County,12133,12327,REP,9876
GA,Appling County,13001,8341,REP,6570
GA,Atkinson County,13003,3155,REP,2300
GA,Bacon County,13005,4668,REP,4017
GA,Baker County,13007,1555,REP,11911
GA,Baldwin County,13009,18251,DEM,9140
GA,Banks County,13011,8801,REP,7795
GA,Barrow County,13013,38017,REP,26804
GA,Bartow County,13015,50467,REP,37672
GA,Ben Hill County,13017,6560,REP,4111
GA,Berrien County,13019,7743,REP,6419
GA,Bibb County,13021,70802,DEM,43408
GA,Bleckley County,13023,5706,REP,4329
GA,Brantley County,13025,7746,REP,6993
GA,Brooks County,13027,7100,REP,4261
GA,Bryan County,13029,21340,REP,14240
GA,Bulloch County,13031,30084,REP,18387
GA,Burke County,13033,10684,REP,5400
GA,Butts County,13035,11789,REP,8406
GA,Calhoun County,13037,2194,REP,5274
GA,Camden County,13039,23688,REP,15249
GA,Candler County,13043,4432,REP,3133
GA,Carroll County,13045,54474,REP,37476
GA,Catoosa County,13047,32692,REP,25167
GA,Charlton County,13049,4566,REP,3419
GA,Chatham County,13051,133420,DEM,78247
GA,Chattahoochee County,13053,1590,REP,880
GA,Chattooga County,13055,10050,REP,8064
GA,Cherokee County,13057,144830,REP,99585
GA,Clarke County,13059,51218,DEM,36055
GA,Clay County,13061,1434,REP,84480
GA,Clayton County,13063,112344,DEM,95466
GA,Clinch County,13065,2864,REP,2105
GA,Cobb County,13067,393744,DEM,221847
GA,Coffee County,13069,15214,REP,10578
GA,Colquitt County,13071,16083,REP,11777
GA,Columbia County,13073,80579,REP,23836
GA,Cook County,13075,7035,REP,4900
GA,Coweta County,13077,76799,REP,51501
GA,Crawford County,13079,6102,REP,4428
GA,Crisp County,13081,8052,REP,4985
GA,Dade County,13083,7434,REP,6066
GA,Dawson County,13085,16081,REP,13398
GA,Decatur County,13087,11627,REP,6755
GA,Dodge County,13091,8070,REP,5843
GA,Dooly County,13093,4105,REP,2159
GA,Dougherty County,13095,35311,DEM,24568
GA,Douglas County,13097,69097,DEM,42814
GA,Early County,13099,5187,REP,2710
GA,Echols County,13101,1441,REP,1256
GA,Effingham County,13103,31624,REP,23361
GA,Elbert County,13105,9171,REP,6226
GA,Emanuel County,13107,9501,REP,6553
GA,Evans County,13109,4247,REP,2888
GA,Fannin County,13111,14850,REP,12169
GA,Fayette County,13113,71993,REP,37956
GA,Floyd County,13115,38588,REP,28906
GA,Forsyth County,13117,129305,REP,85123
GA,Franklin County,13119,10786,REP,4675
GA,Fulton County,13121,524659,DEM,380212
GA,Gilmer County,13123,16525,REP,13429
GA,Glascock County,13125,1566,REP,1402
GA,Glynn County,13127,41984,REP,25617
GA,Gordon County,13129,24033,REP,19405
GA,Grady County,13131,10707,REP,7034
GA,Greene County,13133,11247,REP,7066
GA,Gwinnett County,13135,413865,DEM,241994
GA,Habersham County,13137,20432,REP,16637
GA,Hall County,13139,90523,REP,64183
GA,Hancock County,13141,4165,DEM,2976
GA,Haralson County,13143,14272,REP,12330
GA,Harris County,13145,19991,REP,14319
