state_name,state,dem_votes,rep_votes,diff_votes
Delaware,DE,56137,118652,-62515
Georgia,GA,1826235,2456123,-629888
Idaho,ID,263501,16563,246938
Illinois,IL,584026,1733395,-1149369
Iowa,IA,361332,291724,69608
Kansas,KS,252352,233372,18980
Kentucky,KY,482277,216434,265843
Louisiana,LA,653726,68128,585598
Maine,ME,185913,100241,85672
Massachusetts,MA,92568,1077036,-984468
Michigan,MI,1188372,954962,233410
Minnesota,MN,493854,623338,-129484
Mississippi,MS,321655,137331,184324
Montana,MT,138903,93501,45402
Nebraska,NE,227191,0,227191
New Hampshire,NH,81005,234310,-153305
New Jersey,NJ,421882,1240646,-818764
New Mexico,NM,76607,258478,-181871
North Carolina,NC,920685,1014267,-93582
Oklahoma,OK,509763,0,509763
Oregon,OR,259785,542276,-282491
Rhode Island,RI,10022,154139,-144117
South Carolina,SC,726590,239619,486971
South Dakota,SD,137658,2773,134885
Tennessee,TN,623742,245004,378738
Texas,TX,2002904,2011502,-8598
Virginia,VA,513727,1046273,-532546
West Virginia,WV,210309,0,210309
Wyoming,WY,63736,5370,58366
Alabama,AL,595943,199246,396697
Alaska,AK,86606,43218,43388
Arizona,AZ,259629,1235512,-975883
Arkansas,AR,0,86046,-86046
Colorado,CO,438755,737195,-298440
